doc,dt,pid,texto,n_palavras
202201,2022-01-01,11,"A inadimplência do crédito geral atingiu 2, 3% em dezembro , muito próximo ao menor valor da série observado ao final de 2020 (2,1%) . No crédito livre , esse indicador aumento u 0,2 p.p. em 2021, encerrando o ano em 3,1% , enquanto nas operações direcionadas houve estabilidade (+0,1 p.p.) em 2021, finalizando em 1,2% .",57
202201,2022-01-01,12,"3. Agregados monetários Em 2021, a base monetária alcançou R$409,2 bilhões, representando decréscimo s de 1% no mês e de 5,2% no ano . No mês, o papel -moeda emitido elevou -se 2,7% e as reservas bancárias reduziram 15,5%. Entre os fluxos mensais dos fatores condicionantes da base monetária, apresentaram impactos contracionistas as operações do Tesouro Nacional (R$42,9 bilhões ) e as do setor externo (R$35 bilhões ). No sentido expansionista, operações com títulos públicos federais (R$76 bilhões , compost as por colocações líquidas de R$61,8 bilhões no mercado primário e compras líquidas de R$137,8 bilhões no mercado secundário), com derivativos (R$4 bilhões ), as operações de Redesconto e Linhas de Liquidez (R$4,8 bilhões ) e os depósitos de instituições financeiras (R$0,2 bilhões , com recolhim entos de recursos de depósitos a prazo, R$2 ,6 bilhões, e d e poupança, R$0,6 bilhões , e a liberação de depósitos voluntários a prazo, R$3,2 bilhões). Os meios de pagamento restritos (M1) atingiram R$632,6 bilhões em 2021. Em dezembro houve elevação de 5,4%, resultante do crescimento dos depósitos à vista e do papel -moeda em poder do público , 6,2% e 4,5%, respectivamente. Considerando -se dados dessazonalizados, o M1 recuou 1,3% no mês. Em 2021, o M2 totaliz ou R$4,3 trilhões , após aumento de 3,4 % em dezembro . O saldo dos depósitos de poupança cresceu 1,0%, somando R$1,0 trilhão, após captações líquidas de R$7,7 bilhões. O saldo dos títulos emitidos por instituições financeiras avançou 3,8% no mês , totalizando R$2,6 trilhões, com captações líquidas de R$61,1 bilhões nos depósitos a prazo. O M3 alcançou R$8,8 trilhões em 2021, variando 1,5% em dezembro , refletindo o crescimento no saldo de operações compromissadas , mas essencialmente alavancado pelo aumento observado no M2. No mês, o saldo das quotas de fundos do mercado monetário recuou 0,8%, totalizando R$4,2 trilhões. O M4 encerrou 2021 com saldo de R$9,5 trilhões , variando 1,4% em dezembro e 12,9 % no ano . 4. Concessões ajustadas sazonalmente",329
202201,2022-01-01,13,Nota para a Imprensa – 28.01.2022 5. Revisão das estatísticas de crédito,12
202201,2022-01-01,14,"De acordo com a Política de Revisão das Estatísticas Econômicas Oficiais Compiladas pelo Departamento de Estatísticas (DSTAT) do Banco Central do Brasil , de outubro de 2019, as estatísticas de crédito sofrem revisão ordinária anual nos meses de fevereiro. Essas revisões visam, principalmente, o aprimoramento da consistência entre os diferentes documentos remetidos pelas institui ções financeiras ao Banco Central , a retificação de informações anteriormente enviadas e a revisão de séries históricas. Na revisão das estatísticas que serão divulgadas em fevereiro de 202 2 destaca m-se:",86
202201,2022-01-01,15,"i) Crédito por setor de atividade econômica : revisão da alocação entre setores, especialmente operações de recebíveis relacionados a operações de cartões de crédito ; e ii) Crédito ampliado – dívida externa: seguindo a metodologia internacional ( parágrafo 2.39 do Monetary and Financial Statistics Manual and Compilation Guide , MFSM 2016) , a taxa de câmbio utilizada para conversão das posições em dólar passará a ser calculada pela média entre a taxa de fim de período da compra e da venda. A divulgação antecipada do calendário das revisões estatísticas faz parte da necessária transparência do processo de disseminação das estatísticas e segue as melhores práticas internacionais.",106
202202,2022-02-01,1,Nota para a Imprensa – 24.02.2022 1. Crédito ampliado ao setor não financeiro,13
202202,2022-02-01,2,"Em janeiro, o saldo do crédito ampliado ao setor não financeiro alcançou R$13,6 trilhões (155,1% do PIB), estável no mês ( -0,1% ). A redução mensal da dívida externa , -3,2% , foi afetada pela apreciação cambial de 4,0% . Na comparação interanual, o crédito ampliado cresceu 12,4%, prevalecendo as elevações da carteira de empréstimos do SFN , 15,5%, e dos títulos de dívida , 14,4% .",67
202202,2022-02-01,3,"O crédito ampliado a empresas atingiu R$4,6 trilhões (52,9% do PIB), com redução de 1,5% no mês, influenciada principalmente pela diminuição de 3,3% na dívida externa. Comparativamente a janeiro d e 2021 , a expansão de 10,4% do crédito ampliado a empresas refletiu principalmen te os aumento s de 35,8% em títulos de dívida e de 10,1% na carteira de empréstimos e financiamentos do SFN.",65
202202,2022-02-01,4,"O crédito ampliado às famílias alcançou R$3,0 trilhões (34,0% do PIB) em janeiro, com variações de 1,0% no mês e de 20,7% em doze meses , em função d o incremento n os empréstimos do SFN.",36
202202,2022-02-01,5,2. Operações de crédito do Sistema Financeiro Nacional (SFN),9
202202,2022-02-01,6,"O saldo das operações de crédito do SFN totalizou R$4,7 trilhões em janeiro de 2022, permanecendo estável no mês . Por segmento, o saldo d o crédito para as empresas decresceu 1,5% , para R$1,9 trilhão , enquanto para as famílias aumentou 1,0% , atingindo R$2,7 trilhões . Na comparação interanual , o crédito total avançou 16,4% em janeiro , ante 16,3% no mês anterior . Na mesma base de comparação, as operações com pessoas jurídicas desaceleraram para 9,8% , ante 10,5% no mês anterior . De forma diversa, o crédito às pessoas físicas manteve -se em aceleração , com alta de 21,5% nos doze meses até janeiro, comparativamente a 21% em dezembro de 2021 .",116
202202,2022-02-01,7,"O saldo das operações de crédito com recursos livres para pessoas jurídicas totalizou R$1, 3 trilhão em janeiro , redução de 1,8% no mês e alta de 16,5 % em doze meses , desacelerando em relação ao mês anterior (17,3%) . Esse desempenho decorreu, em grande parte, da redução sazonal das carteira s de antecipação de faturas de cartão de crédito e de desconto de duplicatas.",66
202202,2022-02-01,8,"O saldo do crédito com recursos livre s às famílias somou R$1,5 trilhão no mês , mantendo a trajetória de crescimento observada nos meses anteriores, com elevações de 1% no mês e 23,8% em doze meses . Entre",38
202202,2022-02-01,9,"Nota para a Imprensa – 24.02.2022 as principais modalidades, destacaram -se as elevações nas carteiras de crédito pessoal não consignado , 3,5%, de cartão de crédito rotativo , 8,6% , e de cheque especial , 13,6% - essas duas últimas influenciadas por fatores sazonais .",45
202202,2022-02-01,10,"O crédito direcionado totalizou R$1, 9 trilhão em janeiro , com acréscimos de 0,3% no mês e de 10,9% em relação a janeiro de 2021. Por segmento, o crédito direcionado às empresas diminuiu 1% no mês e 0,7% em doze meses , atingindo R$679 bilhões, enquanto o crédito direcionado às famílias totalizou R$1,2 trilhão , alta mensal de 1% (+18,6% em doze meses).",63
202202,2022-02-01,11,"As concessões nominais de crédito alcançaram R$399,9 bilhões . Nas séries com ajuste sazonal, as contratações aumentaram 12,6% no mês , com altas de 11,1% nas contratações com o segmento empresarial e de 3,7% nas contratações realizadas com as famílias. As concessões nominais observadas aumentaram 21,6% na comparação interanual, com variações de 17,4% e de 25,4% para pessoas jurídicas e físicas.",61
202202,2022-02-01,12,"O Indicador de Custo do Crédito (ICC), que mede o custo médio d e todo o crédito do SFN, atingiu 1 8,9% a.a., elevando -se 0,6 p.p. no mês e 1,9 p.p. em 12 meses. No crédito livre não rotativo, o ICC situou -se em 25,0% a.a., com variações de 0,6 p.p. em janeiro e de 2,4 p.p. em 12 meses. O spread geral do ICC aumentou 0, 4 p.p. no mês, para 12, 7 p.p., acumulando elevação interanual de 0, 7 p.p.",83
202202,2022-02-01,13,"Nota para a Imprensa – 24.02.2022 A taxa média de juros das novas contratações realizadas em janeiro atingiu 25,3% a.a. , elevaç ões de 1,0 p.p. no mês e de 5, 2 p.p. em relação ao mesmo período do ano anterior . O spread bancário das concessões registrou aumento mensal de 0, 5 p.p. e de 0, 4 p.p. em doze meses, situando -se em 16,2 p.p.",67
202202,2022-02-01,14,"Nas operações de crédito com recursos livre s, a taxa média de juros alcançou 35,3% a.a. em janeiro , altas de 1,5 p.p. no mês e de 6,9 p.p. em relação a janeiro do ano anterior. Nas operações com pessoas jurídicas, a taxa média de juros situou -se em 21,3% a.a. (+1, 6 p.p. no mês e + 6,1 p.p. em doze meses), enquanto nas real izadas com as famílias , a taxa média de juros alcançou 46, 3% a.a. (+1,3 p.p. no mês e + 6,9 p.p. em doze meses) .",92
202202,2022-02-01,15,"A inadimplência da carteira de crédito do sistema financeiro atingiu 2, 5% em janeiro , alta mensal de 0,2 p.p. e de 0,4 p.p. na comparação int eranual. Esse movimento refletiu os incrementos mensais de 0,2 p.p. nas operações de crédito livre , para 3,3% , e de 0,1 p.p. nas de crédito direcionado , para 1,3% .",58
202202,2022-02-01,16,"A base monetária atingiu R$418 bilhões e m janeiro , crescimento de 2,1% no mês e redução de 3,6% em doze meses. No mês, papel -moeda emitido encolheu 3,1% e as reservas bancárias aumentaram 27, 4%.",36
202202,2022-02-01,17,"Entre os fluxos mensais dos fatores condicionantes da base monetária, apresentaram impactos expansionistas as operações do Tesouro Nacional (R$7,5 bilhões ), as de redesconto e linhas de liquidez (R$12,9 bilhões ), as do setor externo (R$0,3 bilhões ), os depósitos de instituições financeiras (R$2,4 bilhões , com destaque para as liberações de recursos de depósitos a p razo , R$3,9 bilhões, de recursos de poupança , R$0,7 bilhão, e o recebimento de depósitos voluntários a prazo , R$2,4 bilhões) e as operações com títulos públicos federais (R$13,6 bilhões composto por resgates líquidos de R$26,3 bilhões no mercado primário e vendas líquidas de R$12,7 bilhões no mercado secundário). As operações com derivativos foram contracionistas em R$31,9 bilhões.",116
202202,2022-02-01,18,"Os meios de pagamento restritos (M1) atingiram R$59 3,9 bilhões no mês, retração de 5,8% no período , em consequência das reduções dos depósitos à vista e do papel -moeda em poder do público em 6, 9% e 4,6%, respectivamente. Considerando -se a série dessazonalizad a, o M1 cresceu 4,4% no mês.",52
202202,2022-02-01,19,"O M2 recuou 1,8% no mês, totalizando R$4,2 trilhões. O saldo dos depósitos de poup ança recuou 1,1% no período, somando R$1,0 trilhão, após resgates líquidos de R$19,7 bilhões. O saldo dos títulos emitidos por instituições financeiras diminuiu 1,1%, totalizando R$2,6 trilhões, após resgates líquidos de R$87,5 bilhões nos depósitos a praz o. O M3 registrou variação de -0,3% no período, apesar do crescimento de 1,2% no saldo das quotas de fundos do mercado monetário, que totalizou R$4,3 trilhões. O M4 diminuiu 0,2% no mês, somando R$9,5 trilhões. Em 12 meses a variação foi de 12,5.",96
202202,2022-02-01,20,"A partir desta Nota para a Imprensa – Estatísticas Monetárias e de Crédito, a informação referente às concessões ajustadas sazonalmente passa a ser divulgada nas seguintes tabelas :",28
202202,2022-02-01,21,"Nota para a Imprensa – 24.02.2022 Tabela 2 – Crédito do sistema financeiro – Resumo, Tabela 3 – Crédito do sistema financeiro – Recursos livres – Resumo , e Tabela 4 – Crédito do sistema financeiro – Recursos direcionados – Resumo .",42
202202,2022-02-01,22,"De acordo com a Política de Revisão das Estatísticas Econômicas Oficiais Compiladas pelo Departamento de Estatísticas (DSTAT) do Banco Central do Brasil , de outubro de 2019, as estatísticas de crédito sofrem revisão ordinária anual nos meses de fevereiro. Essas revisões visam, principalmente, o aprimoramento da consistência entre os diferentes documentos remetidos pelas instituições financeiras a o Banco Central , a retificação de informações anteriormente enviadas e a revisão de séries históricas.",72
202202,2022-02-01,23,"Na revisão de fevereiro de 202 2, destaca m-se as seguintes alterações metodológicas :",14
202202,2022-02-01,24,"i) Crédito por setor de atividade econômica : no esforço de aprimoramento contínuo das estatísticas, foi observado que parte expressiva das operações de recebíveis relacionados a cartões de crédito estava sendo atribuída ao setor de serviços financeiros , por serem entendidas como transaç ões entre as instituições fi nanceiras e as credenciadoras. Novas consultas permitiram a identifica ção d o setor econômico da empresa ou lojista que antecipou tais recursos , o que ocasionou a revisão da alocação de crédito entre os setores de atividade econômica, com redução no setor d e serviços financeiros e incremento em outros setores, com destaque para comércio varejista.",104
202202,2022-02-01,25,"ii) Crédito ampliado – dívida externa: seguindo a metodologia internacional ( parágrafo 2.39 do Monetary and Financial Statistics Manual and Compilation Guide , MFSM 2016) , a taxa de câmbio utilizada para conversão das posições em dólar passará a ser calculada pela médi a entre a taxa de fim de período",51
202202,2022-02-01,26,"Nota para a Imprensa – 24.02.2022 da compra e da venda. Essa mudança afeta as séries de dívida externa relacionadas a instrumentos emitidos ou captados no mercado internacional, como as séries de empréstimos captados no exterior e de títulos emitidos no exterior. No geral, as variações foram percentualmente pouco significativas .",51
202202,2022-02-01,27,"Ainda n o âmbito d esta revisão, as seguintes séries sofreram alterações em função de aprimoramentos nas fontes de dados e/ou atualizações dispon ibilizadas nos últimos 12 meses :",29
202202,2022-02-01,28,i) Crédito ampliado – Títulos privados emitidos por empresas no mercado doméstico; ii) Recursos livres – PJ – Antecipação de faturas de cartão – Saldos e concessões ; iii) Recursos livres – PJ – Cartão de crédito rotativo - Saldos ; iv) Recursos livres – PF – Cartão de crédito rotativo – Saldos e concessões ; e v) Recursos livres – PF – Composição de dívidas – Concessões e juros .,71
202202,2022-02-01,29,"Com o objetivo de facilitar a comunicação das informações publicadas, as tabelas da Nota para a Imprensa – Estatísticas Monetárias e de Crédito , sofreram as seguintes alterações :",29
202202,2022-02-01,30,"a) Alteração na sequência das tabelas , iniciando pelas tabelas de crédito ampli ado, que são as estatística s mais abrangente s sobre crédito . Vide abaixo a correspondência entre a numeração antiga e a nova , e",38
202202,2022-02-01,31,b) Inclusão da s séries de concessões dessazonalizadas e ICC nas tabelas de resumo das operações de crédito do SFN e exclusão da série de prazo de concessão (novas tabelas 2 a 4) .,34
202202,2022-02-01,32,Numeração antigaNumeração novaNumeração antigaNumeração novaNumeração antigaNumeração novaNumeração antigaNumeração nova 1 2 11 12 21 17 31 27 2 3 12 13 22 18 32 1 3 4 13 14E 23 19 32A 1A 4 5 13A 14F 23A 19A 32B 1B 5 6 13B 14G 23B 19B 32C 1C 5A 6A 13C 14H 24 20 33 28 5B 6B 13D 14I 24A 20A 34 29 6 7 14 15C 24B 20B 35 30 6A 7A 14A 15D 25 21 35A 30A 6B 7B 14B 15E 26 22 7 8 15 16B 27 23 8 9 15A 16C 28 24 9 10 16 17A 29 25 9A 10A 17 18A 30 26 9B 10B 18 14 10 11 18A 14A 10A 11A 18B 14B 10B 11B 18C 14C 18D 14D 19 15 19A 15A 19B 15B 20 16 20A 16A,139
202203,2022-03-01,1,Nota para a Imprensa – 28.04 .2022 1. Crédito ampliado ao setor não financeiro,14
202203,2022-03-01,2,"Em fever eiro, o saldo do crédito ampliado ao setor não financeiro alcançou R$13,6 trilhões (15 3,7% do PIB), com elevação de 0,5% no mês . A dívida externa declinou 4 ,6%, afetada pela apreciação cambial de 4,1%. Na comparação interanual, o crédito ampliado cresceu 1 0,6%, prevalecendo as elevações da carteira de empréstimos do SFN , 16,4 %, e dos títulos de dívida , 13,5%. O crédito ampliado a empresas atingiu R$4,6 trilhões (5 1,7% do PIB), com redução de 1, 0% no mês, influenciada principalmente pela diminuição de 4,7 % na dívida externa. Comparativamente a fever eiro d e 2021, a expansão de 7,8% do crédito ampliado a empresas refletiu principalmente o s aumento s de 35,0% em títulos de dívida e de 1 1,0% na carteira de empréstimos e financiamentos do SFN. O crédito ampliado às famílias alcançou R$3,0 trilhões (3 3,7% do PIB) em fever eiro, com variações de 0,7% no mês e de 20, 0% em doze meses , em função d o incremento n os empréstimos do SFN.",174
202203,2022-03-01,3,2. Operações de crédito do Sistema Financeiro Nacional (SFN),9
202203,2022-03-01,4,"O estoque das operações de crédito do SFN somou R$4,7 trilhões em fevereiro de 2022, expans ões de 0,8% no mês e de 16,6% em doze meses . Por segmento, o estoque de crédito às empresas aumentou 1,0 % em relação a janeiro e 10,3 % em relação ao m esmo período do ano anterior , ao totalizar R$2,0 trilhões . No tocante às famílias , o estoque de crédito somou R$2,8 trilhões , com incrementos de 0,7 % e de 21,4% na s mesmas base s de comparação . O volume de crédito com recursos livres para pessoas jurídicas alcançou R$1, 3 trilhão em fevereiro , com alta de 1,9% no mês e de 17,5 % em relação a fevereiro de 2021 , registrando aceleração em relação ao ocorrido no mês anterior (16,6%) . Esse desempenho mostrou -se disse minado entre as principais modalidades de crédito livre para o segmento, com destaque para as operações de adiantamentos de contratos de câmbio (ACC), antecipação de recebíveis de crédito, capital de giro com prazo superior a 365 dias, financiamento à exportações e financi amento para a aquisição de veículos automotores . O volume de crédito com recursos livre s às famílias atingiu R$1,5 trilhão em fevereiro , com elevações de 0,5% no mês e 23,7% em doze meses . Entre as principais modalidades, sobre ssaíram-se os incrementos",226
202203,2022-03-01,5,"Nota para a Imprensa – 28.04 .2022 nas carteiras de crédito pessoal não consignado (2,4%), de cartão de crédito rotativo (9,7%) e de crédito pessoal consignado para servidores públicos (0,7%) .",31
202203,2022-03-01,6,"O crédito direcionado somou R$1, 9 trilhão em fevereiro , com incrementos de 0,4% no mês e de 10,8 % em doze meses . Por segmento, o crédito direcionado apresentou comportamentos distintos, registrando contração no destinado às empresas ( -0,6% no mês e - 1,0% em doze meses) ao totalizar R$ 674 bilhões, enquanto para o segmento de pessoas físicas o crédito direc ionado manteve -se em expansão ( 0,9% no mês e 1 8,7% em doze meses), somando R$ 1,2 trilhão.",82
202203,2022-03-01,7,"As concessões nominais de crédito somaram R$398,3 bilhões em fevereiro . Nas séries com ajuste sazonal, as concessões apresentaram relativa estabilidade no mês , com decréscimo de 1,4% nas contratações com pessoas jurídicas e, em sentido inverso, expansão de 3,4 % nas contratações realizadas com pessoas físicas . No acumulado em 12 meses, houve variação de 23,5% nas concessões nominais. O Indicador de Custo do Crédito (ICC), que mede o custo médio de todo o crédito do SFN, atingiu 19,4% a.a., elevando -se 0, 4 p.p. no mês e 2,2 p.p. em 12 meses. No crédito livre não rotativo, o ICC situou -se em 25,3% a.a., com variações de 0,3 p.p. em fever eiro e de 2,7 p.p. em 12 meses. O spread geral do ICC aumentou 0, 2 p.p. no mês , para 1 3,0 p.p., acumulando elevação interanual de 0, 7 p.p.",144
202203,2022-03-01,8,"A taxa de juros das concessões atingiu 25,7% a.a. em fevereiro , com incremento mensal de 0,4 p.p. e de 5,9 p.p. em doze meses . Em linha, o spread bancário das concessões situou -se em 16,8 p.p., assinalando incrementos de 0, 6 p.p. e de 1,2 p.p. na mesma ordem. 250300350400450500550 fev 20 abr 20 jun 20 ago 20 out 20 dez 20 fev 21 abr 21 jun 21 ago 21 out 21 dez 21 fev 22R$ bilhõesConcessões de crédito Dessazonalizado Nominal",83
202203,2022-03-01,9,"Nas operações de crédito com recursos livre s, a taxa de juros alcançou 36,5 % a.a. em fevereiro , elevações de 1,2 p.p. no mês e de 8,4 p.p. em doze meses . Nas operações com pessoas jurídicas, a taxa de juros situou- se em 21,5 % a.a. (+ 0,1 p.p. no mês e + 7,7 p.p. em doze meses), enquanto nas operações realizadas com pessoas físicas, as taxas de juros atingiram 48,1 % a.a. (+1, 8 p.p. no mês e + 8,0 p.p. em doze meses) . A inadimplência da carteira de crédito do SFN , que considera os atrasos superiores a 90 dias, permaneceu em 2,5% em fevereiro , mantendo -se estável no mês e aumentando 0,3 p.p. na comparação com o mesmo período de 2021. Esse desempenho resultou da estabilidade dos atrasos acima de 90 dias nas operações de crédito livre (3,3% ) e da alta de 0,1 p.p. no crédito direcionado (1,4%). 3. Agregados monetários A base monetária somou R$402,2 bilhões em fevereiro, decréscimo s de 3,8% no mês e de 2,2% em doze meses. No mês, papel- moeda emitido e reservas bancárias reduziram 0,6% e 15,5%, respectivamente. Entre os fluxos mensais dos fatores condicionantes da base m onetária, impactaram de forma contracionista as operações do Tesouro Nacional (R$27,8 bilhões ) e as com derivativos (R$28,4 bilhões ). No sentido expansionista atuaram as operações do setor externo (R$6,2 bilhões ), as com títulos públicos federais (R$10,3 b ilhões , resultado de colocações líquidas de R$76,8 bilhões no mercado primário e compras líquidas de R$87,1 bilhões no mercado secundário), as operações de Redesconto e de Linhas de Liquidez (R$18,1 bilhões , resultado de operações de redesconto , R$174 milh ões, e Linhas de Liquidez , R$17,9 bilhões), e os depósitos de instituições financeiras (R$9,9 bilhões , compostos por liberações de recolhimento de recursos de depósitos a prazo, +R$7,2 bilhões ; de depósitos voluntários a prazo, +R$2,1 bilhões ; de recursos do Proagro, +R$309 milhões ; de depósitos de garantia em espécie vinculadas a Linhas Financeiras de Liquidez – LFL, +R$255 milhões ; e o recolhimento de recursos à vista não aplicados em operações de microfinanças, - R$155 milhões). Em fevere iro, o s meios de pagamento restritos (M1) atingiram R$592,6 bilhões, expansão de 0,4% no mês, resultado da elevação dos depósitos à vista, 1,1%, e da diminuição do papel -moeda em poder do público , 0,3%. Considerando -se dados dessazonalizados, o M1 avançou 0,9% no mês. O M2 cresceu 0,8% no mês, totalizando R$4,2 trilhões. O saldo dos depósitos de poupança recuou 0,1% no período, somando R$1,0 trilhão, após registrar resgates líquidos de R$5,4 bilhões. O saldo dos títulos emitidos por instituições financeir as avançou 1,3%, totalizando R$2,6 trilhões, após captações líquidas de R$14,7 bilhões nos depósitos a prazo. O M3 não registrou variação no período, totalizando R$8,7 trilhões. O recuo de 1,0% no saldo das quotas de fundos do mercado monetário no período, que totalizou R$4,2 trilhões, foi contrabalançado pelo aumento do M2. O M4 cresceu 0,3% no mês, totalizando R$9,5 trilhões. Em 12 meses a variação alcançou 11,5%.",513
202205,2022-05-01,1,Nota para a Imprensa – 27.07 .2022 1. Crédito ampliado ao setor não financeiro,14
202205,2022-05-01,2,"Em abril , o saldo do crédito ampliado ao setor não financeiro alcançou R$13,6 trilhões (15 1,6% do PIB), com elevação de 1,3% no mês . A dívida externa aumentou 2,3%, afetada pela depreciação cambial de 3 ,8%. Na comparação interanual, o crédito ampliado cresceu 10,5%, prevalecendo as elevações da carteira de empréstimos do SFN , 16, 6%, e dos títulos de dívida , 14,4%.",65
202205,2022-05-01,3,"O crédito ampliado a empresas atingiu R$4, 7 trilhões (5 1,9% do PIB), com alta de 2,7% no mês, influenciada principalmente pela elevação de 3,6% na dívida externa. Comparativamente a abril de 2021, a expansão de 7,7% do crédito ampliado a empresas refletiu principalmente o s aumento s de 35,8% em títulos de dívida e de 1 0,9% na carteira de empréstimos e financiamentos do SFN.",66
